X,Y,Z
76,69,53
76,69,53
76,67,53
76,67,53
79,65,53
79,65,53
73,65,53
73,65,53
74,64,53
74,64,53
74,64,53
74,64,53
76,67,53
76,67,53
76,61,55
76,61,55
76,62,58
76,62,58
69,62,57
69,62,57
71,64,55
71,64,55
72,64,54
72,64,54
71,57,50
71,57,50
72,57,52
72,57,52
74,57,54
74,57,54
71,57,55
71,57,55
69,69,54
69,69,54
71,69,55
71,69,55
73,69,57
73,69,57
73,67,57
73,67,57
73,65,58
73,65,58
73,67,58
73,67,58
73,69,57
73,69,57
73,70,55
73,70,55
73,67,52
73,67,52
73,69,53
73,69,53
74,70,55
74,70,55
74,64,55
74,64,55
74,70,57
74,70,57
74,69,57
74,69,57
73,67,45
73,67,45
